id,year,state_name,state_code,district_name,district_code,region,population_group,no_of_offices,no_of_accounts,deposit_amount,deposit_per_office,deposit_per_account,accounts_per_office,has_deposits,has_offices,has_accounts
42,2022,Andhra Pradesh,28,West Godavari,523,Southern Region,Rural,211,2189,5531,26.213270142180093,2.5267245317496574,10.374407582938389,1,1,1
43,2022,Andhra Pradesh,28,West Godavari,523,Southern Region,Semi-urban,274,3648,11118,40.57664233576642,3.0476973684210527,13.313868613138686,1,1,1
44,2022,Andhra Pradesh,28,West Godavari,523,Southern Region,Urban,151,1946,8909,59.0,4.578108941418294,12.887417218543046,1,1,1
45,2022,Andhra Pradesh,28,Y.S.R.,504,Southern Region,Rural,134,1545,3489,26.03731343283582,2.258252427184466,11.529850746268657,1,1,1
46,2022,Andhra Pradesh,28,Y.S.R.,504,Southern Region,Semi-urban,111,1831,6014,54.18018018018018,3.2845439650464225,16.495495495495497,1,1,1
47,2022,Andhra Pradesh,28,Y.S.R.,504,Southern Region,Urban,120,1635,8211,68.425,5.022018348623853,13.625,1,1,1
88,2022,Arunachal Pradesh,12,Changlang,229,North Eastern Region,Rural,6,133,771,128.5,5.796992481203008,22.166666666666668,1,1,1
89,2022,Arunachal Pradesh,12,East Kameng,231,North Eastern Region,Semi-urban,4,53,283,70.75,5.339622641509434,13.25,1,1,1
90,2022,Arunachal Pradesh,12,East Siang,232,North Eastern Region,Rural,3,90,178,59.333333333333336,1.9777777777777779,30.0,1,1,1
91,2022,Arunachal Pradesh,12,East Siang,232,North Eastern Region,Semi-urban,14,158,1287,91.92857142857143,8.145569620253164,11.285714285714286,1,1,1
92,2022,Arunachal Pradesh,12,Leparada,724,North Eastern Region,Rural,3,85,348,116.0,4.094117647058823,28.333333333333332,1,1,1
93,2022,Arunachal Pradesh,12,Lohit,234,North Eastern Region,Semi-urban,3,53,445,148.33333333333334,8.39622641509434,17.666666666666668,1,1,1
94,2022,Arunachal Pradesh,12,Longding,666,North Eastern Region,Rural,3,40,215,71.66666666666667,5.375,13.333333333333334,1,1,1
95,2022,Arunachal Pradesh,12,Lower Dibang Valley,235,North Eastern Region,Semi-urban,4,65,896,224.0,13.784615384615385,16.25,1,1,1
96,2022,Arunachal Pradesh,12,Lower Siang,719,North Eastern Region,Rural,3,45,192,64.0,4.266666666666667,15.0,1,1,1
97,2022,Arunachal Pradesh,12,Lower Subansiri,236,North Eastern Region,Rural,3,22,86,28.666666666666668,3.909090909090909,7.333333333333333,1,1,1
98,2022,Arunachal Pradesh,12,Lower Subansiri,236,North Eastern Region,Semi-urban,8,60,643,80.375,10.716666666666667,7.5,1,1,1
99,2022,Arunachal Pradesh,12,Namsai,678,North Eastern Region,Rural,3,35,250,83.33333333333333,7.142857142857143,11.666666666666666,1,1,1
100,2022,Arunachal Pradesh,12,Namsai,678,North Eastern Region,Semi-urban,4,62,350,87.5,5.645161290322581,15.5,1,1,1
101,2022,Arunachal Pradesh,12,Papum Pare,237,North Eastern Region,Rural,12,84,755,62.916666666666664,8.988095238095237,7.0,1,1,1
102,2022,Arunachal Pradesh,12,Papum Pare,237,North Eastern Region,Semi-urban,44,388,11743,266.8863636363636,30.265463917525775,8.818181818181818,1,1,1
103,2022,Arunachal Pradesh,12,Siang,679,North Eastern Region,Rural,4,26,131,32.75,5.038461538461538,6.5,1,1,1
104,2022,Arunachal Pradesh,12,Tawang,238,North Eastern Region,Semi-urban,5,50,1106,221.2,22.12,10.0,1,1,1
105,2022,Arunachal Pradesh,12,Upper Siang,240,North Eastern Region,Rural,4,41,343,85.75,8.365853658536585,10.25,1,1,1
106,2022,Arunachal Pradesh,12,Upper Subansiri,241,North Eastern Region,Rural,6,43,163,27.166666666666668,3.7906976744186047,7.166666666666667,1,1,1
107,2022,Arunachal Pradesh,12,West Kameng,242,North Eastern Region,Rural,14,113,1240,88.57142857142857,10.973451327433628,8.071428571428571,1,1,1
108,2022,Arunachal Pradesh,12,West Siang,243,North Eastern Region,Semi-urban,5,81,627,125.4,7.7407407407407405,16.2,1,1,1
129,2022,Assam,18,Baksa,616,North Eastern Region,Rural,54,1143,1367,25.314814814814813,1.1959755030621173,21.166666666666668,1,1,1
130,2022,Assam,18,Barpeta,280,North Eastern Region,Rural,57,1444,1602,28.105263157894736,1.1094182825484764,25.333333333333332,1,1,1
131,2022,Assam,18,Barpeta,280,North Eastern Region,Semi-urban,60,1375,3267,54.45,2.376,22.916666666666668,1,1,1
132,2022,Assam,18,Biswanath,705,North Eastern Region,Rural,28,538,749,26.75,1.3921933085501859,19.214285714285715,1,1,1
133,2022,Assam,18,Biswanath,705,North Eastern Region,Semi-urban,20,279,917,45.85,3.2867383512544803,13.95,1,1,1
134,2022,Assam,18,Bongaigaon,281,North Eastern Region,Rural,24,481,529,22.041666666666668,1.0997920997920998,20.041666666666668,1,1,1
135,2022,Assam,18,Bongaigaon,281,North Eastern Region,Semi-urban,35,682,2829,80.82857142857142,4.148093841642229,19.485714285714284,1,1,1
136,2022,Assam,18,Cachar,282,North Eastern Region,Rural,90,1795,2602,28.91111111111111,1.4495821727019498,19.944444444444443,1,1,1
137,2022,Assam,18,Cachar,282,North Eastern Region,Semi-urban,7,100,232,33.142857142857146,2.32,14.285714285714286,1,1,1
138,2022,Assam,18,Cachar,282,North Eastern Region,Urban,76,858,6896,90.73684210526316,8.037296037296038,11.289473684210526,1,1,1
139,2022,Assam,18,Charaideo,708,North Eastern Region,Rural,20,402,715,35.75,1.7786069651741294,20.1,1,1,1
140,2022,Assam,18,Charaideo,708,North Eastern Region,Semi-urban,10,197,505,50.5,2.563451776649746,19.7,1,1,1
141,2022,Assam,18,Chirang,612,North Eastern Region,Rural,19,540,1183,62.26315789473684,2.1907407407407407,28.42105263157895,1,1,1
142,2022,Assam,18,Chirang,612,North Eastern Region,Semi-urban,12,209,355,29.583333333333332,1.6985645933014355,17.416666666666668,1,1,1
143,2022,Assam,18,Darrang,283,North Eastern Region,Rural,37,755,647,17.486486486486488,0.856953642384106,20.405405405405407,1,1,1
144,2022,Assam,18,Darrang,283,North Eastern Region,Semi-urban,30,833,1757,58.56666666666667,2.1092436974789917,27.766666666666666,1,1,1
145,2022,Assam,18,Dhemaji,284,North Eastern Region,Rural,21,738,764,36.38095238095238,1.0352303523035231,35.142857142857146,1,1,1
146,2022,Assam,18,Dhemaji,284,North Eastern Region,Semi-urban,23,467,865,37.608695652173914,1.8522483940042827,20.304347826086957,1,1,1
147,2022,Assam,18,Dhubri,285,North Eastern Region,Rural,35,1096,859,24.542857142857144,0.7837591240875912,31.314285714285713,1,1,1
148,2022,Assam,18,Dhubri,285,North Eastern Region,Semi-urban,44,1201,2324,52.81818181818182,1.9350541215653623,27.295454545454547,1,1,1
149,2022,Assam,18,Dibrugarh,286,North Eastern Region,Rural,90,1347,3191,35.455555555555556,2.3689680772086117,14.966666666666667,1,1,1
150,2022,Assam,18,Dibrugarh,286,North Eastern Region,Semi-urban,37,468,3984,107.67567567567568,8.512820512820513,12.64864864864865,1,1,1
151,2022,Assam,18,Dibrugarh,286,North Eastern Region,Urban,63,616,5112,81.14285714285714,8.2987012987013,9.777777777777779,1,1,1
152,2022,Assam,18,Dima Hasao,299,North Eastern Region,Rural,13,79,405,31.153846153846153,5.1265822784810124,6.076923076923077,1,1,1
153,2022,Assam,18,Dima Hasao,299,North Eastern Region,Semi-urban,14,115,799,57.07142857142857,6.947826086956522,8.214285714285714,1,1,1
154,2022,Assam,18,Goalpara,287,North Eastern Region,Rural,39,777,1020,26.153846153846153,1.3127413127413128,19.923076923076923,1,1,1
155,2022,Assam,18,Goalpara,287,North Eastern Region,Semi-urban,25,703,1400,56.0,1.9914651493598863,28.12,1,1,1
156,2022,Assam,18,Golaghat,288,North Eastern Region,Rural,67,1112,1516,22.62686567164179,1.3633093525179856,16.597014925373134,1,1,1
157,2022,Assam,18,Golaghat,288,North Eastern Region,Semi-urban,47,765,2300,48.93617021276596,3.0065359477124183,16.27659574468085,1,1,1
158,2022,Assam,18,Hailakandi,289,North Eastern Region,Rural,19,452,467,24.57894736842105,1.0331858407079646,23.789473684210527,1,1,1
159,2022,Assam,18,Hailakandi,289,North Eastern Region,Semi-urban,24,526,1374,57.25,2.612167300380228,21.916666666666668,1,1,1
160,2022,Assam,18,Hojai,709,North Eastern Region,Rural,11,277,240,21.818181818181817,0.8664259927797834,25.181818181818183,1,1,1
161,2022,Assam,18,Hojai,709,North Eastern Region,Semi-urban,34,693,2382,70.05882352941177,3.4372294372294374,20.38235294117647,1,1,1
162,2022,Assam,18,Jorhat,290,North Eastern Region,Rural,52,716,1351,25.98076923076923,1.8868715083798884,13.76923076923077,1,1,1
163,2022,Assam,18,Jorhat,290,North Eastern Region,Semi-urban,18,321,670,37.22222222222222,2.087227414330218,17.833333333333332,1,1,1
164,2022,Assam,18,Jorhat,290,North Eastern Region,Urban,73,830,6010,82.32876712328768,7.240963855421687,11.36986301369863,1,1,1
165,2022,Assam,18,Kamrup,291,North Eastern Region,Rural,124,2080,4170,33.62903225806452,2.0048076923076925,16.774193548387096,1,1,1
166,2022,Assam,18,Kamrup,291,North Eastern Region,Semi-urban,37,534,1497,40.45945945945946,2.803370786516854,14.432432432432432,1,1,1
167,2022,Assam,18,Kamrup Metro,618,North Eastern Region,Rural,40,419,2473,61.825,5.902147971360382,10.475,1,1,1
168,2022,Assam,18,Kamrup Metro,618,North Eastern Region,Semi-urban,4,61,242,60.5,3.9672131147540983,15.25,1,1,1
169,2022,Assam,18,Kamrup Metro,618,North Eastern Region,Urban,432,4036,72230,167.19907407407408,17.89643211100099,9.342592592592593,1,1,1
170,2022,Assam,18,Karbi Anglong,292,North Eastern Region,Rural,36,191,644,17.88888888888889,3.3717277486910993,5.305555555555555,1,1,1
171,2022,Assam,18,Karbi Anglong,292,North Eastern Region,Semi-urban,25,220,1592,63.68,7.236363636363636,8.8,1,1,1
172,2022,Assam,18,Karimganj,293,North Eastern Region,Rural,53,1211,1373,25.90566037735849,1.133773740710157,22.849056603773583,1,1,1
173,2022,Assam,18,Karimganj,293,North Eastern Region,Semi-urban,33,521,2835,85.9090909090909,5.4414587332053745,15.787878787878787,1,1,1
174,2022,Assam,18,Kokrajhar,294,North Eastern Region,Rural,32,892,1211,37.84375,1.3576233183856503,27.875,1,1,1
175,2022,Assam,18,Kokrajhar,294,North Eastern Region,Semi-urban,20,434,1945,97.25,4.481566820276497,21.7,1,1,1
176,2022,Assam,18,Lakhimpur,295,North Eastern Region,Rural,53,1046,1264,23.849056603773583,1.2084130019120458,19.735849056603772,1,1,1
177,2022,Assam,18,Lakhimpur,295,North Eastern Region,Semi-urban,34,675,1715,50.44117647058823,2.5407407407407407,19.852941176470587,1,1,1
178,2022,Assam,18,Majuli,706,North Eastern Region,Rural,14,234,301,21.5,1.2863247863247864,16.714285714285715,1,1,1
179,2022,Assam,18,Marigaon,296,North Eastern Region,Rural,41,1128,633,15.439024390243903,0.5611702127659575,27.51219512195122,1,1,1
180,2022,Assam,18,Marigaon,296,North Eastern Region,Semi-urban,27,542,1249,46.25925925925926,2.304428044280443,20.074074074074073,1,1,1
181,2022,Assam,18,Nagaon,297,North Eastern Region,Rural,101,2274,1912,18.93069306930693,0.8408091468777484,22.514851485148515,1,1,1
182,2022,Assam,18,Nagaon,297,North Eastern Region,Semi-urban,22,701,678,30.818181818181817,0.9671897289586305,31.863636363636363,1,1,1
183,2022,Assam,18,Nagaon,297,North Eastern Region,Urban,47,815,3770,80.2127659574468,4.625766871165644,17.340425531914892,1,1,1
184,2022,Assam,18,Nalbari,298,North Eastern Region,Rural,55,884,1395,25.363636363636363,1.5780542986425339,16.072727272727274,1,1,1
185,2022,Assam,18,Nalbari,298,North Eastern Region,Semi-urban,24,429,1626,67.75,3.7902097902097904,17.875,1,1,1
186,2022,Assam,18,Sivasagar,300,North Eastern Region,Rural,51,701,1442,28.274509803921568,2.057061340941512,13.745098039215685,1,1,1
187,2022,Assam,18,Sivasagar,300,North Eastern Region,Semi-urban,47,622,3712,78.97872340425532,5.967845659163987,13.23404255319149,1,1,1
188,2022,Assam,18,Sonitpur,301,North Eastern Region,Rural,64,1002,1527,23.859375,1.5239520958083832,15.65625,1,1,1
189,2022,Assam,18,Sonitpur,301,North Eastern Region,Semi-urban,65,1166,4575,70.38461538461539,3.923670668953688,17.93846153846154,1,1,1
190,2022,Assam,18,South Salmara Mancachar,707,North Eastern Region,Rural,11,409,282,25.636363636363637,0.6894865525672371,37.18181818181818,1,1,1
191,2022,Assam,18,South Salmara Mancachar,707,North Eastern Region,Semi-urban,4,135,123,30.75,0.9111111111111111,33.75,1,1,1
192,2022,Assam,18,Tinsukia,302,North Eastern Region,Rural,56,844,1356,24.214285714285715,1.6066350710900474,15.071428571428571,1,1,1
193,2022,Assam,18,Tinsukia,302,North Eastern Region,Semi-urban,46,714,2563,55.71739130434783,3.589635854341737,15.521739130434783,1,1,1
194,2022,Assam,18,Tinsukia,302,North Eastern Region,Urban,49,638,4065,82.95918367346938,6.371473354231975,13.020408163265307,1,1,1
195,2022,Assam,18,Udalguri,617,North Eastern Region,Rural,29,922,689,23.75862068965517,0.7472885032537961,31.79310344827586,1,1,1
196,2022,Assam,18,Udalguri,617,North Eastern Region,Semi-urban,17,433,890,52.35294117647059,2.0554272517321017,25.470588235294116,1,1,1
197,2022,Assam,18,West Karbi Anglong,710,North Eastern Region,Rural,22,134,321,14.590909090909092,2.3955223880597014,6.090909090909091,1,1,1
267,2022,Bihar,10,Araria,188,Eastern Region,Rural,80,1647,1103,13.7875,0.6697024893746205,20.5875,1,1,1
268,2022,Bihar,10,Araria,188,Eastern Region,Semi-urban,77,1884,3602,46.77922077922078,1.9118895966029723,24.467532467532468,1,1,1
269,2022,Bihar,10,Arwal,611,Eastern Region,Rural,41,773,1567,38.21951219512195,2.0271668822768434,18.853658536585368,1,1,1
270,2022,Bihar,10,Arwal,611,Eastern Region,Semi-urban,19,212,363,19.105263157894736,1.7122641509433962,11.157894736842104,1,1,1
271,2022,Bihar,10,Aurangabad,189,Eastern Region,Rural,108,1854,3264,30.22222222222222,1.7605177993527508,17.166666666666668,1,1,1
272,2022,Bihar,10,Aurangabad,189,Eastern Region,Semi-urban,39,1097,2371,60.794871794871796,2.161349134001823,28.128205128205128,1,1,1
273,2022,Bihar,10,Aurangabad,189,Eastern Region,Urban,37,443,2814,76.05405405405405,6.3521444695259595,11.972972972972974,1,1,1
274,2022,Bihar,10,Banka,190,Eastern Region,Rural,71,1797,2340,32.95774647887324,1.3021702838063438,25.309859154929576,1,1,1
275,2022,Bihar,10,Banka,190,Eastern Region,Semi-urban,34,693,1699,49.970588235294116,2.451659451659452,20.38235294117647,1,1,1
276,2022,Bihar,10,Begusarai,191,Eastern Region,Rural,80,1437,1849,23.1125,1.2867084203201113,17.9625,1,1,1
277,2022,Bihar,10,Begusarai,191,Eastern Region,Semi-urban,92,1921,4143,45.03260869565217,2.1566892243623115,20.880434782608695,1,1,1
278,2022,Bihar,10,Begusarai,191,Eastern Region,Urban,49,709,3469,70.79591836734694,4.892806770098731,14.46938775510204,1,1,1
279,2022,Bihar,10,Bhagalpur,192,Eastern Region,Rural,97,1831,2791,28.77319587628866,1.5243036592026216,18.876288659793815,1,1,1
280,2022,Bihar,10,Bhagalpur,192,Eastern Region,Semi-urban,89,1580,4248,47.73033707865169,2.688607594936709,17.752808988764045,1,1,1
281,2022,Bihar,10,Bhagalpur,192,Eastern Region,Urban,97,1082,8712,89.81443298969072,8.051756007393715,11.154639175257731,1,1,1
282,2022,Bihar,10,Bhojpur,193,Eastern Region,Rural,118,2177,3810,32.28813559322034,1.7501148369315571,18.449152542372882,1,1,1
283,2022,Bihar,10,Bhojpur,193,Eastern Region,Semi-urban,53,1156,2695,50.84905660377358,2.3313148788927336,21.81132075471698,1,1,1
284,2022,Bihar,10,Bhojpur,193,Eastern Region,Urban,54,791,5370,99.44444444444444,6.788874841972187,14.648148148148149,1,1,1
285,2022,Bihar,10,Buxar,194,Eastern Region,Rural,81,1363,2246,27.728395061728396,1.6478356566397652,16.82716049382716,1,1,1
286,2022,Bihar,10,Buxar,194,Eastern Region,Semi-urban,38,797,1883,49.55263157894737,2.3626097867001254,20.973684210526315,1,1,1
287,2022,Bihar,10,Buxar,194,Eastern Region,Urban,31,512,2440,78.70967741935483,4.765625,16.516129032258064,1,1,1
288,2022,Bihar,10,Darbhanga,195,Eastern Region,Rural,113,2203,3128,27.68141592920354,1.4198819791193826,19.495575221238937,1,1,1
289,2022,Bihar,10,Darbhanga,195,Eastern Region,Semi-urban,61,1379,2195,35.98360655737705,1.5917331399564902,22.60655737704918,1,1,1
290,2022,Bihar,10,Darbhanga,195,Eastern Region,Urban,78,1179,7978,102.28205128205128,6.766751484308736,15.115384615384615,1,1,1
291,2022,Bihar,10,Gaya,196,Eastern Region,Rural,172,4101,6038,35.104651162790695,1.4723238234576932,23.843023255813954,1,1,1
292,2022,Bihar,10,Gaya,196,Eastern Region,Semi-urban,38,851,2628,69.15789473684211,3.0881316098707403,22.394736842105264,1,1,1
293,2022,Bihar,10,Gaya,196,Eastern Region,Urban,98,1365,9358,95.48979591836735,6.855677655677655,13.928571428571429,1,1,1
294,2022,Bihar,10,Gopalganj,197,Eastern Region,Rural,109,2340,3868,35.48623853211009,1.652991452991453,21.46788990825688,1,1,1
295,2022,Bihar,10,Gopalganj,197,Eastern Region,Semi-urban,63,1394,4542,72.0952380952381,3.2582496413199427,22.126984126984127,1,1,1
296,2022,Bihar,10,Jamui,198,Eastern Region,Rural,74,1555,2194,29.64864864864865,1.4109324758842443,21.013513513513512,1,1,1
297,2022,Bihar,10,Jamui,198,Eastern Region,Semi-urban,42,867,2411,57.404761904761905,2.7808535178777394,20.642857142857142,1,1,1
298,2022,Bihar,10,Jehanabad,199,Eastern Region,Rural,56,865,1487,26.553571428571427,1.7190751445086705,15.446428571428571,1,1,1
299,2022,Bihar,10,Jehanabad,199,Eastern Region,Semi-urban,9,217,530,58.888888888888886,2.442396313364055,24.11111111111111,1,1,1
300,2022,Bihar,10,Jehanabad,199,Eastern Region,Urban,29,405,1969,67.89655172413794,4.8617283950617285,13.96551724137931,1,1,1
301,2022,Bihar,10,Kaimur (Bhabua),200,Eastern Region,Rural,80,1591,2480,31.0,1.5587680703959774,19.8875,1,1,1
302,2022,Bihar,10,Kaimur (Bhabua),200,Eastern Region,Semi-urban,32,688,1934,60.4375,2.811046511627907,21.5,1,1,1
303,2022,Bihar,10,Katihar,201,Eastern Region,Rural,104,2461,2067,19.875,0.8399024786672085,23.66346153846154,1,1,1
304,2022,Bihar,10,Katihar,201,Eastern Region,Semi-urban,34,803,896,26.352941176470587,1.115815691158157,23.61764705882353,1,1,1
305,2022,Bihar,10,Katihar,201,Eastern Region,Urban,48,680,3776,78.66666666666667,5.552941176470588,14.166666666666666,1,1,1
306,2022,Bihar,10,Khagaria,202,Eastern Region,Rural,35,627,633,18.085714285714285,1.0095693779904307,17.914285714285715,1,1,1
307,2022,Bihar,10,Khagaria,202,Eastern Region,Semi-urban,73,1411,3001,41.10958904109589,2.1268603827073,19.328767123287673,1,1,1
308,2022,Bihar,10,Kishanganj,203,Eastern Region,Rural,59,1345,956,16.203389830508474,0.7107806691449814,22.796610169491526,1,1,1
309,2022,Bihar,10,Kishanganj,203,Eastern Region,Semi-urban,19,586,505,26.57894736842105,0.8617747440273038,30.842105263157894,1,1,1
310,2022,Bihar,10,Kishanganj,203,Eastern Region,Urban,28,470,1846,65.92857142857143,3.927659574468085,16.785714285714285,1,1,1
311,2022,Bihar,10,Lakhisarai,204,Eastern Region,Rural,44,670,1202,27.318181818181817,1.7940298507462686,15.227272727272727,1,1,1
312,2022,Bihar,10,Lakhisarai,204,Eastern Region,Semi-urban,35,739,2190,62.57142857142857,2.9634641407307174,21.114285714285714,1,1,1
313,2022,Bihar,10,Madhepura,205,Eastern Region,Rural,38,804,875,23.026315789473685,1.0883084577114428,21.157894736842106,1,1,1
314,2022,Bihar,10,Madhepura,205,Eastern Region,Semi-urban,79,1676,2810,35.56962025316456,1.6766109785202863,21.21518987341772,1,1,1
315,2022,Bihar,10,Madhubani,206,Eastern Region,Rural,113,2112,2632,23.292035398230087,1.246212121212121,18.690265486725664,1,1,1
316,2022,Bihar,10,Madhubani,206,Eastern Region,Semi-urban,154,3162,7184,46.64935064935065,2.271979759645794,20.532467532467532,1,1,1
317,2022,Bihar,10,Munger,207,Eastern Region,Rural,60,960,1962,32.7,2.04375,16.0,1,1,1
318,2022,Bihar,10,Munger,207,Eastern Region,Semi-urban,16,349,932,58.25,2.670487106017192,21.8125,1,1,1
319,2022,Bihar,10,Munger,207,Eastern Region,Urban,53,721,4748,89.58490566037736,6.585298196948682,13.60377358490566,1,1,1
320,2022,Bihar,10,Muzaffarpur,208,Eastern Region,Rural,176,3940,5375,30.539772727272727,1.364213197969543,22.386363636363637,1,1,1
321,2022,Bihar,10,Muzaffarpur,208,Eastern Region,Semi-urban,86,1896,3222,37.46511627906977,1.6993670886075949,22.046511627906977,1,1,1
322,2022,Bihar,10,Muzaffarpur,208,Eastern Region,Urban,133,1477,11679,87.81203007518798,7.9072444143534195,11.105263157894736,1,1,1
323,2022,Bihar,10,Nalanda,209,Eastern Region,Rural,132,1929,3840,29.09090909090909,1.990668740279938,14.613636363636363,1,1,1
324,2022,Bihar,10,Nalanda,209,Eastern Region,Semi-urban,60,1191,3210,53.5,2.695214105793451,19.85,1,1,1
325,2022,Bihar,10,Nalanda,209,Eastern Region,Urban,46,904,4670,101.52173913043478,5.165929203539823,19.652173913043477,1,1,1
326,2022,Bihar,10,Nawada,210,Eastern Region,Rural,71,1413,1674,23.577464788732396,1.1847133757961783,19.901408450704224,1,1,1
327,2022,Bihar,10,Nawada,210,Eastern Region,Semi-urban,62,1634,3986,64.29032258064517,2.4394124847001226,26.35483870967742,1,1,1
