"id","year","state_name","state_code","district_name","district_code","region","population_group","no_of_offices","no_of_accounts","deposit_amount"
26,2022,"Andhra Pradesh",28,"Kurnool",511,"Southern Region","Urban",193,4338,12238
27,2022,"Andhra Pradesh",28,"Prakasam",517,"Southern Region","Rural",199,2114,3921
28,2022,"Andhra Pradesh",28,"Prakasam",517,"Southern Region","Semi-urban",205,3160,8519
29,2022,"Andhra Pradesh",28,"Prakasam",517,"Southern Region","Urban",78,835,5133
30,2022,"Andhra Pradesh",28,"Spsr Nellore",515,"Southern Region","Rural",151,1521,2872
31,2022,"Andhra Pradesh",28,"Spsr Nellore",515,"Southern Region","Semi-urban",149,2296,5594
32,2022,"Andhra Pradesh",28,"Spsr Nellore",515,"Southern Region","Urban",128,1509,10586
33,2022,"Andhra Pradesh",28,"Srikakulam",519,"Southern Region","Rural",150,2090,3739
34,2022,"Andhra Pradesh",28,"Srikakulam",519,"Southern Region","Semi-urban",110,1740,4398
35,2022,"Andhra Pradesh",28,"Srikakulam",519,"Southern Region","Urban",61,657,3619
36,2022,"Andhra Pradesh",28,"Visakhapatanam",520,"Southern Region","Rural",153,2394,3894
37,2022,"Andhra Pradesh",28,"Visakhapatanam",520,"Southern Region","Semi-urban",111,1514,3924
38,2022,"Andhra Pradesh",28,"Visakhapatanam",520,"Southern Region","Metropolitan",528,5472,54393
39,2022,"Andhra Pradesh",28,"Vizianagaram",521,"Southern Region","Rural",139,1699,2796
40,2022,"Andhra Pradesh",28,"Vizianagaram",521,"Southern Region","Semi-urban",102,1376,3256
41,2022,"Andhra Pradesh",28,"Vizianagaram",521,"Southern Region","Urban",78,1159,4449
42,2022,"Andhra Pradesh",28,"West Godavari",523,"Southern Region","Rural",211,2189,5531
43,2022,"Andhra Pradesh",28,"West Godavari",523,"Southern Region","Semi-urban",274,3648,11118
44,2022,"Andhra Pradesh",28,"West Godavari",523,"Southern Region","Urban",151,1946,8909
45,2022,"Andhra Pradesh",28,"Y.S.R.",504,"Southern Region","Rural",134,1545,3489
46,2022,"Andhra Pradesh",28,"Y.S.R.",504,"Southern Region","Semi-urban",111,1831,6014
47,2022,"Andhra Pradesh",28,"Y.S.R.",504,"Southern Region","Urban",120,1635,8211
48,2022,"Andhra Pradesh",28,"Anantapur",502,"Southern Region","Rural",0,0,0
49,2022,"Andhra Pradesh",28,"Anantapur",502,"Southern Region","Semi-urban",0,0,0
50,2022,"Andhra Pradesh",28,"Anantapur",502,"Southern Region","Urban",0,0,0
51,2022,"Andhra Pradesh",28,"Chittoor",503,"Southern Region","Rural",0,0,0
52,2022,"Andhra Pradesh",28,"Chittoor",503,"Southern Region","Semi-urban",0,0,0
53,2022,"Andhra Pradesh",28,"Chittoor",503,"Southern Region","Urban",0,0,0
54,2022,"Andhra Pradesh",28,"East Godavari",505,"Southern Region","Rural",0,0,0
55,2022,"Andhra Pradesh",28,"East Godavari",505,"Southern Region","Semi-urban",0,0,0
56,2022,"Andhra Pradesh",28,"East Godavari",505,"Southern Region","Urban",0,0,0
57,2022,"Andhra Pradesh",28,"Guntur",506,"Southern Region","Rural",0,0,0
58,2022,"Andhra Pradesh",28,"Guntur",506,"Southern Region","Semi-urban",0,0,0
59,2022,"Andhra Pradesh",28,"Guntur",506,"Southern Region","Urban",0,0,0
60,2022,"Andhra Pradesh",28,"Krishna",510,"Southern Region","Rural",0,0,0
61,2022,"Andhra Pradesh",28,"Krishna",510,"Southern Region","Semi-urban",0,0,0
62,2022,"Andhra Pradesh",28,"Krishna",510,"Southern Region","Urban",0,0,0
63,2022,"Andhra Pradesh",28,"Krishna",510,"Southern Region","Metropolitan",0,0,0
64,2022,"Andhra Pradesh",28,"Kurnool",511,"Southern Region","Rural",0,0,0
65,2022,"Andhra Pradesh",28,"Kurnool",511,"Southern Region","Semi-urban",0,0,0
66,2022,"Andhra Pradesh",28,"Kurnool",511,"Southern Region","Urban",0,0,0
67,2022,"Andhra Pradesh",28,"Prakasam",517,"Southern Region","Rural",0,0,0
68,2022,"Andhra Pradesh",28,"Prakasam",517,"Southern Region","Semi-urban",0,0,0
69,2022,"Andhra Pradesh",28,"Prakasam",517,"Southern Region","Urban",0,0,0
70,2022,"Andhra Pradesh",28,"Srikakulam",519,"Southern Region","Rural",0,0,0
71,2022,"Andhra Pradesh",28,"Srikakulam",519,"Southern Region","Semi-urban",0,0,0
72,2022,"Andhra Pradesh",28,"Srikakulam",519,"Southern Region","Urban",0,0,0
73,2022,"Andhra Pradesh",28,"Spsr Nellore",515,"Southern Region","Rural",0,0,0
74,2022,"Andhra Pradesh",28,"Spsr Nellore",515,"Southern Region","Semi-urban",0,0,0
75,2022,"Andhra Pradesh",28,"Spsr Nellore",515,"Southern Region","Urban",0,0,0
76,2022,"Andhra Pradesh",28,"Visakhapatanam",520,"Southern Region","Rural",0,0,0
77,2022,"Andhra Pradesh",28,"Visakhapatanam",520,"Southern Region","Semi-urban",0,0,0
78,2022,"Andhra Pradesh",28,"Visakhapatanam",520,"Southern Region","Metropolitan",0,0,0
79,2022,"Andhra Pradesh",28,"Vizianagaram",521,"Southern Region","Rural",0,0,0
80,2022,"Andhra Pradesh",28,"Vizianagaram",521,"Southern Region","Semi-urban",0,0,0
81,2022,"Andhra Pradesh",28,"Vizianagaram",521,"Southern Region","Urban",0,0,0
82,2022,"Andhra Pradesh",28,"West Godavari",523,"Southern Region","Rural",0,0,0
83,2022,"Andhra Pradesh",28,"West Godavari",523,"Southern Region","Semi-urban",0,0,0
84,2022,"Andhra Pradesh",28,"West Godavari",523,"Southern Region","Urban",0,0,0
85,2022,"Andhra Pradesh",28,"Y.S.R.",504,"Southern Region","Rural",0,0,0
86,2022,"Andhra Pradesh",28,"Y.S.R.",504,"Southern Region","Semi-urban",0,0,0
87,2022,"Andhra Pradesh",28,"Y.S.R.",504,"Southern Region","Urban",0,0,0
88,2022,"Arunachal Pradesh",12,"Changlang",229,"North Eastern Region","Rural",6,133,771
89,2022,"Arunachal Pradesh",12,"East Kameng",231,"North Eastern Region","Semi-urban",4,53,283
90,2022,"Arunachal Pradesh",12,"East Siang",232,"North Eastern Region","Rural",3,90,178
91,2022,"Arunachal Pradesh",12,"East Siang",232,"North Eastern Region","Semi-urban",14,158,1287
92,2022,"Arunachal Pradesh",12,"Leparada",724,"North Eastern Region","Rural",3,85,348
93,2022,"Arunachal Pradesh",12,"Lohit",234,"North Eastern Region","Semi-urban",3,53,445
94,2022,"Arunachal Pradesh",12,"Longding",666,"North Eastern Region","Rural",3,40,215
95,2022,"Arunachal Pradesh",12,"Lower Dibang Valley",235,"North Eastern Region","Semi-urban",4,65,896
96,2022,"Arunachal Pradesh",12,"Lower Siang",719,"North Eastern Region","Rural",3,45,192
97,2022,"Arunachal Pradesh",12,"Lower Subansiri",236,"North Eastern Region","Rural",3,22,86
98,2022,"Arunachal Pradesh",12,"Lower Subansiri",236,"North Eastern Region","Semi-urban",8,60,643
99,2022,"Arunachal Pradesh",12,"Namsai",678,"North Eastern Region","Rural",3,35,250
100,2022,"Arunachal Pradesh",12,"Namsai",678,"North Eastern Region","Semi-urban",4,62,350
101,2022,"Arunachal Pradesh",12,"Papum Pare",237,"North Eastern Region","Rural",12,84,755
102,2022,"Arunachal Pradesh",12,"Papum Pare",237,"North Eastern Region","Semi-urban",44,388,11743
103,2022,"Arunachal Pradesh",12,"Siang",679,"North Eastern Region","Rural",4,26,131
104,2022,"Arunachal Pradesh",12,"Tawang",238,"North Eastern Region","Semi-urban",5,50,1106
105,2022,"Arunachal Pradesh",12,"Upper Siang",240,"North Eastern Region","Rural",4,41,343
106,2022,"Arunachal Pradesh",12,"Upper Subansiri",241,"North Eastern Region","Rural",6,43,163
107,2022,"Arunachal Pradesh",12,"West Kameng",242,"North Eastern Region","Rural",14,113,1240
108,2022,"Arunachal Pradesh",12,"West Siang",243,"North Eastern Region","Semi-urban",5,81,627
109,2022,"Arunachal Pradesh",12,"Changlang",229,"North Eastern Region","Rural",0,0,0
110,2022,"Arunachal Pradesh",12,"East Kameng",231,"North Eastern Region","Semi-urban",0,0,0
111,2022,"Arunachal Pradesh",12,"East Siang",232,"North Eastern Region","Rural",0,0,0
112,2022,"Arunachal Pradesh",12,"East Siang",232,"North Eastern Region","Semi-urban",0,0,0
113,2022,"Arunachal Pradesh",12,"Lohit",234,"North Eastern Region","Semi-urban",0,0,0
114,2022,"Arunachal Pradesh",12,"Longding",666,"North Eastern Region","Rural",0,0,0
115,2022,"Arunachal Pradesh",12,"Lower Dibang Valley",235,"North Eastern Region","Semi-urban",0,0,0
116,2022,"Arunachal Pradesh",12,"Lower Siang",719,"North Eastern Region","Rural",0,0,0
117,2022,"Arunachal Pradesh",12,"Lower Subansiri",236,"North Eastern Region","Rural",0,0,0
118,2022,"Arunachal Pradesh",12,"Lower Subansiri",236,"North Eastern Region","Semi-urban",0,0,0
119,2022,"Arunachal Pradesh",12,"Namsai",678,"North Eastern Region","Rural",0,0,0
120,2022,"Arunachal Pradesh",12,"Namsai",678,"North Eastern Region","Semi-urban",0,0,0
121,2022,"Arunachal Pradesh",12,"Papum Pare",237,"North Eastern Region","Rural",0,0,0
122,2022,"Arunachal Pradesh",12,"Papum Pare",237,"North Eastern Region","Semi-urban",0,0,0
123,2022,"Arunachal Pradesh",12,"Siang",679,"North Eastern Region","Rural",0,0,0
124,2022,"Arunachal Pradesh",12,"Tawang",238,"North Eastern Region","Semi-urban",0,0,0
125,2022,"Arunachal Pradesh",12,"Upper Siang",240,"North Eastern Region","Rural",0,0,0
126,2022,"Arunachal Pradesh",12,"Upper Subansiri",241,"North Eastern Region","Rural",0,0,0
127,2022,"Arunachal Pradesh",12,"West Kameng",242,"North Eastern Region","Rural",0,0,0
128,2022,"Arunachal Pradesh",12,"West Siang",243,"North Eastern Region","Semi-urban",0,0,0
129,2022,"Assam",18,"Baksa",616,"North Eastern Region","Rural",54,1143,1367
130,2022,"Assam",18,"Barpeta",280,"North Eastern Region","Rural",57,1444,1602
131,2022,"Assam",18,"Barpeta",280,"North Eastern Region","Semi-urban",60,1375,3267
132,2022,"Assam",18,"Biswanath",705,"North Eastern Region","Rural",28,538,749
133,2022,"Assam",18,"Biswanath",705,"North Eastern Region","Semi-urban",20,279,917
134,2022,"Assam",18,"Bongaigaon",281,"North Eastern Region","Rural",24,481,529
135,2022,"Assam",18,"Bongaigaon",281,"North Eastern Region","Semi-urban",35,682,2829
136,2022,"Assam",18,"Cachar",282,"North Eastern Region","Rural",90,1795,2602
137,2022,"Assam",18,"Cachar",282,"North Eastern Region","Semi-urban",7,100,232
138,2022,"Assam",18,"Cachar",282,"North Eastern Region","Urban",76,858,6896
139,2022,"Assam",18,"Charaideo",708,"North Eastern Region","Rural",20,402,715
140,2022,"Assam",18,"Charaideo",708,"North Eastern Region","Semi-urban",10,197,505
141,2022,"Assam",18,"Chirang",612,"North Eastern Region","Rural",19,540,1183
142,2022,"Assam",18,"Chirang",612,"North Eastern Region","Semi-urban",12,209,355
143,2022,"Assam",18,"Darrang",283,"North Eastern Region","Rural",37,755,647
144,2022,"Assam",18,"Darrang",283,"North Eastern Region","Semi-urban",30,833,1757
145,2022,"Assam",18,"Dhemaji",284,"North Eastern Region","Rural",21,738,764
146,2022,"Assam",18,"Dhemaji",284,"North Eastern Region","Semi-urban",23,467,865
147,2022,"Assam",18,"Dhubri",285,"North Eastern Region","Rural",35,1096,859
148,2022,"Assam",18,"Dhubri",285,"North Eastern Region","Semi-urban",44,1201,2324
149,2022,"Assam",18,"Dibrugarh",286,"North Eastern Region","Rural",90,1347,3191
150,2022,"Assam",18,"Dibrugarh",286,"North Eastern Region","Semi-urban",37,468,3984
151,2022,"Assam",18,"Dibrugarh",286,"North Eastern Region","Urban",63,616,5112
152,2022,"Assam",18,"Dima Hasao",299,"North Eastern Region","Rural",13,79,405
153,2022,"Assam",18,"Dima Hasao",299,"North Eastern Region","Semi-urban",14,115,799
154,2022,"Assam",18,"Goalpara",287,"North Eastern Region","Rural",39,777,1020
155,2022,"Assam",18,"Goalpara",287,"North Eastern Region","Semi-urban",25,703,1400
156,2022,"Assam",18,"Golaghat",288,"North Eastern Region","Rural",67,1112,1516
157,2022,"Assam",18,"Golaghat",288,"North Eastern Region","Semi-urban",47,765,2300
158,2022,"Assam",18,"Hailakandi",289,"North Eastern Region","Rural",19,452,467
159,2022,"Assam",18,"Hailakandi",289,"North Eastern Region","Semi-urban",24,526,1374
160,2022,"Assam",18,"Hojai",709,"North Eastern Region","Rural",11,277,240
161,2022,"Assam",18,"Hojai",709,"North Eastern Region","Semi-urban",34,693,2382
162,2022,"Assam",18,"Jorhat",290,"North Eastern Region","Rural",52,716,1351
163,2022,"Assam",18,"Jorhat",290,"North Eastern Region","Semi-urban",18,321,670
164,2022,"Assam",18,"Jorhat",290,"North Eastern Region","Urban",73,830,6010
165,2022,"Assam",18,"Kamrup",291,"North Eastern Region","Rural",124,2080,4170
166,2022,"Assam",18,"Kamrup",291,"North Eastern Region","Semi-urban",37,534,1497
167,2022,"Assam",18,"Kamrup Metro",618,"North Eastern Region","Rural",40,419,2473
168,2022,"Assam",18,"Kamrup Metro",618,"North Eastern Region","Semi-urban",4,61,242
169,2022,"Assam",18,"Kamrup Metro",618,"North Eastern Region","Urban",432,4036,72230
170,2022,"Assam",18,"Karbi Anglong",292,"North Eastern Region","Rural",36,191,644
171,2022,"Assam",18,"Karbi Anglong",292,"North Eastern Region","Semi-urban",25,220,1592
172,2022,"Assam",18,"Karimganj",293,"North Eastern Region","Rural",53,1211,1373
173,2022,"Assam",18,"Karimganj",293,"North Eastern Region","Semi-urban",33,521,2835
174,2022,"Assam",18,"Kokrajhar",294,"North Eastern Region","Rural",32,892,1211
175,2022,"Assam",18,"Kokrajhar",294,"North Eastern Region","Semi-urban",20,434,1945
176,2022,"Assam",18,"Lakhimpur",295,"North Eastern Region","Rural",53,1046,1264
177,2022,"Assam",18,"Lakhimpur",295,"North Eastern Region","Semi-urban",34,675,1715
178,2022,"Assam",18,"Majuli",706,"North Eastern Region","Rural",14,234,301
179,2022,"Assam",18,"Marigaon",296,"North Eastern Region","Rural",41,1128,633
180,2022,"Assam",18,"Marigaon",296,"North Eastern Region","Semi-urban",27,542,1249
181,2022,"Assam",18,"Nagaon",297,"North Eastern Region","Rural",101,2274,1912
182,2022,"Assam",18,"Nagaon",297,"North Eastern Region","Semi-urban",22,701,678
183,2022,"Assam",18,"Nagaon",297,"North Eastern Region","Urban",47,815,3770
184,2022,"Assam",18,"Nalbari",298,"North Eastern Region","Rural",55,884,1395
185,2022,"Assam",18,"Nalbari",298,"North Eastern Region","Semi-urban",24,429,1626
186,2022,"Assam",18,"Sivasagar",300,"North Eastern Region","Rural",51,701,1442
187,2022,"Assam",18,"Sivasagar",300,"North Eastern Region","Semi-urban",47,622,3712
188,2022,"Assam",18,"Sonitpur",301,"North Eastern Region","Rural",64,1002,1527
189,2022,"Assam",18,"Sonitpur",301,"North Eastern Region","Semi-urban",65,1166,4575
190,2022,"Assam",18,"South Salmara Mancachar",707,"North Eastern Region","Rural",11,409,282
191,2022,"Assam",18,"South Salmara Mancachar",707,"North Eastern Region","Semi-urban",4,135,123
192,2022,"Assam",18,"Tinsukia",302,"North Eastern Region","Rural",56,844,1356
193,2022,"Assam",18,"Tinsukia",302,"North Eastern Region","Semi-urban",46,714,2563
194,2022,"Assam",18,"Tinsukia",302,"North Eastern Region","Urban",49,638,4065
195,2022,"Assam",18,"Udalguri",617,"North Eastern Region","Rural",29,922,689
196,2022,"Assam",18,"Udalguri",617,"North Eastern Region","Semi-urban",17,433,890
197,2022,"Assam",18,"West Karbi Anglong",710,"North Eastern Region","Rural",22,134,321
198,2022,"Assam",18,"Baksa",616,"North Eastern Region","Rural",0,0,0
199,2022,"Assam",18,"Barpeta",280,"North Eastern Region","Rural",0,0,0
200,2022,"Assam",18,"Barpeta",280,"North Eastern Region","Semi-urban",0,0,0
201,2022,"Assam",18,"Biswanath",705,"North Eastern Region","Rural",0,0,0
202,2022,"Assam",18,"Biswanath",705,"North Eastern Region","Semi-urban",0,0,0
203,2022,"Assam",18,"Bongaigaon",281,"North Eastern Region","Rural",0,0,0
204,2022,"Assam",18,"Bongaigaon",281,"North Eastern Region","Semi-urban",0,0,0
205,2022,"Assam",18,"Cachar",282,"North Eastern Region","Rural",0,0,0
206,2022,"Assam",18,"Cachar",282,"North Eastern Region","Semi-urban",0,0,0
207,2022,"Assam",18,"Cachar",282,"North Eastern Region","Urban",0,0,0
208,2022,"Assam",18,"Charaideo",708,"North Eastern Region","Rural",0,0,0
209,2022,"Assam",18,"Charaideo",708,"North Eastern Region","Semi-urban",0,0,0
210,2022,"Assam",18,"Chirang",612,"North Eastern Region","Rural",0,0,0
211,2022,"Assam",18,"Chirang",612,"North Eastern Region","Semi-urban",0,0,0
212,2022,"Assam",18,"Darrang",283,"North Eastern Region","Rural",0,0,0
213,2022,"Assam",18,"Darrang",283,"North Eastern Region","Semi-urban",0,0,0
214,2022,"Assam",18,"Dhemaji",284,"North Eastern Region","Rural",0,0,0
215,2022,"Assam",18,"Dhemaji",284,"North Eastern Region","Semi-urban",0,0,0
216,2022,"Assam",18,"Dhubri",285,"North Eastern Region","Rural",0,0,0
217,2022,"Assam",18,"Dhubri",285,"North Eastern Region","Semi-urban",0,0,0
218,2022,"Assam",18,"Dibrugarh",286,"North Eastern Region","Rural",0,0,0
219,2022,"Assam",18,"Dibrugarh",286,"North Eastern Region","Semi-urban",0,0,0
220,2022,"Assam",18,"Dibrugarh",286,"North Eastern Region","Urban",0,0,0
221,2022,"Assam",18,"Goalpara",287,"North Eastern Region","Rural",0,0,0
222,2022,"Assam",18,"Goalpara",287,"North Eastern Region","Semi-urban",0,0,0
223,2022,"Assam",18,"Golaghat",288,"North Eastern Region","Rural",0,0,0
224,2022,"Assam",18,"Golaghat",288,"North Eastern Region","Semi-urban",0,0,0
225,2022,"Assam",18,"Hailakandi",289,"North Eastern Region","Rural",0,0,0
226,2022,"Assam",18,"Hailakandi",289,"North Eastern Region","Semi-urban",0,0,0
227,2022,"Assam",18,"Hojai",709,"North Eastern Region","Rural",0,0,0
228,2022,"Assam",18,"Hojai",709,"North Eastern Region","Semi-urban",0,0,0
229,2022,"Assam",18,"Jorhat",290,"North Eastern Region","Rural",0,0,0
230,2022,"Assam",18,"Jorhat",290,"North Eastern Region","Semi-urban",0,0,0
231,2022,"Assam",18,"Jorhat",290,"North Eastern Region","Urban",0,0,0
232,2022,"Assam",18,"Kamrup",291,"North Eastern Region","Rural",0,0,0
233,2022,"Assam",18,"Kamrup",291,"North Eastern Region","Semi-urban",0,0,0
234,2022,"Assam",18,"Kamrup Metro",618,"North Eastern Region","Rural",0,0,0
235,2022,"Assam",18,"Kamrup Metro",618,"North Eastern Region","Semi-urban",0,0,0
236,2022,"Assam",18,"Kamrup Metro",618,"North Eastern Region","Urban",0,0,0
237,2022,"Assam",18,"Karbi Anglong",292,"North Eastern Region","Rural",0,0,0
238,2022,"Assam",18,"Karbi Anglong",292,"North Eastern Region","Semi-urban",0,0,0
239,2022,"Assam",18,"Karimganj",293,"North Eastern Region","Rural",0,0,0
240,2022,"Assam",18,"Karimganj",293,"North Eastern Region","Semi-urban",0,0,0
241,2022,"Assam",18,"Kokrajhar",294,"North Eastern Region","Rural",0,0,0
242,2022,"Assam",18,"Kokrajhar",294,"North Eastern Region","Semi-urban",0,0,0
243,2022,"Assam",18,"Lakhimpur",295,"North Eastern Region","Rural",0,0,0
244,2022,"Assam",18,"Lakhimpur",295,"North Eastern Region","Semi-urban",0,0,0
245,2022,"Assam",18,"Majuli",706,"North Eastern Region","Rural",0,0,0
246,2022,"Assam",18,"Marigaon",296,"North Eastern Region","Rural",0,0,0
247,2022,"Assam",18,"Marigaon",296,"North Eastern Region","Semi-urban",0,0,0
248,2022,"Assam",18,"Nagaon",297,"North Eastern Region","Rural",0,0,0
249,2022,"Assam",18,"Nagaon",297,"North Eastern Region","Semi-urban",0,0,0
250,2022,"Assam",18,"Nagaon",297,"North Eastern Region","Urban",0,0,0
251,2022,"Assam",18,"Nalbari",298,"North Eastern Region","Rural",0,0,0
252,2022,"Assam",18,"Nalbari",298,"North Eastern Region","Semi-urban",0,0,0
255,2022,"Assam",18,"Sivasagar",300,"North Eastern Region","Rural",0,0,0
256,2022,"Assam",18,"Sivasagar",300,"North Eastern Region","Semi-urban",0,0,0
257,2022,"Assam",18,"Sonitpur",301,"North Eastern Region","Rural",0,0,0
258,2022,"Assam",18,"Sonitpur",301,"North Eastern Region","Semi-urban",0,0,0
259,2022,"Assam",18,"South Salmara Mancachar",707,"North Eastern Region","Rural",0,0,0
260,2022,"Assam",18,"South Salmara Mancachar",707,"North Eastern Region","Semi-urban",0,0,0
261,2022,"Assam",18,"Tinsukia",302,"North Eastern Region","Rural",0,0,0
262,2022,"Assam",18,"Tinsukia",302,"North Eastern Region","Semi-urban",0,0,0
263,2022,"Assam",18,"Tinsukia",302,"North Eastern Region","Urban",0,0,0
264,2022,"Assam",18,"Udalguri",617,"North Eastern Region","Rural",0,0,0
265,2022,"Assam",18,"Udalguri",617,"North Eastern Region","Semi-urban",0,0,0
266,2022,"Assam",18,"West Karbi Anglong",710,"North Eastern Region","Rural",0,0,0
267,2022,"Bihar",10,"Araria",188,"Eastern Region","Rural",80,1647,1103
268,2022,"Bihar",10,"Araria",188,"Eastern Region","Semi-urban",77,1884,3602
269,2022,"Bihar",10,"Arwal",611,"Eastern Region","Rural",41,773,1567
270,2022,"Bihar",10,"Arwal",611,"Eastern Region","Semi-urban",19,212,363
271,2022,"Bihar",10,"Aurangabad",189,"Eastern Region","Rural",108,1854,3264
272,2022,"Bihar",10,"Aurangabad",189,"Eastern Region","Semi-urban",39,1097,2371
273,2022,"Bihar",10,"Aurangabad",189,"Eastern Region","Urban",37,443,2814
274,2022,"Bihar",10,"Banka",190,"Eastern Region","Rural",71,1797,2340
275,2022,"Bihar",10,"Banka",190,"Eastern Region","Semi-urban",34,693,1699
276,2022,"Bihar",10,"Begusarai",191,"Eastern Region","Rural",80,1437,1849
277,2022,"Bihar",10,"Begusarai",191,"Eastern Region","Semi-urban",92,1921,4143
278,2022,"Bihar",10,"Begusarai",191,"Eastern Region","Urban",49,709,3469
279,2022,"Bihar",10,"Bhagalpur",192,"Eastern Region","Rural",97,1831,2791
280,2022,"Bihar",10,"Bhagalpur",192,"Eastern Region","Semi-urban",89,1580,4248
281,2022,"Bihar",10,"Bhagalpur",192,"Eastern Region","Urban",97,1082,8712
282,2022,"Bihar",10,"Bhojpur",193,"Eastern Region","Rural",118,2177,3810
283,2022,"Bihar",10,"Bhojpur",193,"Eastern Region","Semi-urban",53,1156,2695
284,2022,"Bihar",10,"Bhojpur",193,"Eastern Region","Urban",54,791,5370
285,2022,"Bihar",10,"Buxar",194,"Eastern Region","Rural",81,1363,2246
286,2022,"Bihar",10,"Buxar",194,"Eastern Region","Semi-urban",38,797,1883
287,2022,"Bihar",10,"Buxar",194,"Eastern Region","Urban",31,512,2440
288,2022,"Bihar",10,"Darbhanga",195,"Eastern Region","Rural",113,2203,3128
289,2022,"Bihar",10,"Darbhanga",195,"Eastern Region","Semi-urban",61,1379,2195
290,2022,"Bihar",10,"Darbhanga",195,"Eastern Region","Urban",78,1179,7978
291,2022,"Bihar",10,"Gaya",196,"Eastern Region","Rural",172,4101,6038
292,2022,"Bihar",10,"Gaya",196,"Eastern Region","Semi-urban",38,851,2628
293,2022,"Bihar",10,"Gaya",196,"Eastern Region","Urban",98,1365,9358
294,2022,"Bihar",10,"Gopalganj",197,"Eastern Region","Rural",109,2340,3868
295,2022,"Bihar",10,"Gopalganj",197,"Eastern Region","Semi-urban",63,1394,4542
296,2022,"Bihar",10,"Jamui",198,"Eastern Region","Rural",74,1555,2194
297,2022,"Bihar",10,"Jamui",198,"Eastern Region","Semi-urban",42,867,2411
298,2022,"Bihar",10,"Jehanabad",199,"Eastern Region","Rural",56,865,1487
299,2022,"Bihar",10,"Jehanabad",199,"Eastern Region","Semi-urban",9,217,530
300,2022,"Bihar",10,"Jehanabad",199,"Eastern Region","Urban",29,405,1969
301,2022,"Bihar",10,"Kaimur (Bhabua)",200,"Eastern Region","Rural",80,1591,2480
302,2022,"Bihar",10,"Kaimur (Bhabua)",200,"Eastern Region","Semi-urban",32,688,1934
303,2022,"Bihar",10,"Katihar",201,"Eastern Region","Rural",104,2461,2067
304,2022,"Bihar",10,"Katihar",201,"Eastern Region","Semi-urban",34,803,896
305,2022,"Bihar",10,"Katihar",201,"Eastern Region","Urban",48,680,3776
306,2022,"Bihar",10,"Khagaria",202,"Eastern Region","Rural",35,627,633
307,2022,"Bihar",10,"Khagaria",202,"Eastern Region","Semi-urban",73,1411,3001
308,2022,"Bihar",10,"Kishanganj",203,"Eastern Region","Rural",59,1345,956
309,2022,"Bihar",10,"Kishanganj",203,"Eastern Region","Semi-urban",19,586,505
310,2022,"Bihar",10,"Kishanganj",203,"Eastern Region","Urban",28,470,1846
311,2022,"Bihar",10,"Lakhisarai",204,"Eastern Region","Rural",44,670,1202
312,2022,"Bihar",10,"Lakhisarai",204,"Eastern Region","Semi-urban",35,739,2190
